,q,yr
0,45496.52796948938,2001
1,43874.0339621907,2002
2,46015.32786608764,2003
3,48806.203181719735,2004
4,46782.79657516883,2005
5,50222.022869129294,2006
6,44571.69945070091,2007
7,50936.483282200155,2008
8,50795.60037869708,2009
9,49615.40408197092,2010
10,38999.81879622631,2011
11,45496.52796948938,2012
12,47284.67502821658,2013
13,43790.05604208039,2014
14,48245.31393570176,2015
15,51878.36434568102,2016
16,47623.33334061551,2017
17,44784.282509941964,2018
18,46970.57544611171,2019
19,40764.534504801784,2020
20,45496.52796948938,2021
21,53497.74060415197,2022
22,56607.825908768835,2023
23,46069.99565547715,2024
24,41678.363806465735,2025
25,42067.20973655903,2026
26,40764.534504801784,2027
27,41678.363806465735,2028
28,45374.033805097555,2029
29,50602.366817413866,2030
30,53075.762168564455,2031
31,45790.93569720889,2032
32,42856.985929101655,2033
33,42189.20307965396,2034
34,46437.99074999994,2035
35,46437.99074999994,2036
36,50699.77500314944,2037
37,38333.41729101944,2038
38,50866.4619496778,2039
39,47016.54445759212,2040
40,51119.249832939764,2041
41,45675.11750452752,2042
42,52130.27645191943,2043
43,48354.74047308753,2044
44,56274.97194671996,2045
45,58486.27823668585,2046
46,44784.282509941964,2047
47,45790.93569720889,2048
48,47498.71210012377,2049
49,47582.09807146428,2050
